age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- Foster
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
1 week,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
5 years,1,Spayed Female,Female,Yes,5,365,Cat,"(4.4, 6.6]",Friday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
4 years,1,Neutered Male,Male,Yes,4,365,Cat,"(2.2, 4.4]",Wednesday,siamese,True,False,point,lynx,none,lynx,Adoption-- 
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- Foster
2 years,0,Intact Male,Male,No,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,cream ,white,cream ,Transfer-- SCRP
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- 
1 month,1,Neutered Male,Male,Yes,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- Foster
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Offsite
11 months,1,Spayed Female,Female,Yes,11,30,Cat,"(-0.022, 2.2]",Monday,domestic longhair,False,True,missing,black,none,black,Adoption-- Foster
1 year,0,Intact Male,Male,No,1,365,Cat,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,missing,blue,white,blue,Transfer-- SCRP
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tortie,Breed Specific,white,tortie,Transfer-- Partner
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,tabby,cream,none,cream,Adoption-- 
3 years,0,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Thursday,siamese,True,False,point,lilac,none,lilac,Euthanasia-- Suffering
8 years,1,Spayed Female,Female,Yes,8,365,Cat,"(6.6, 8.8]",Monday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
10 years,1,Neutered Male,Male,Yes,10,365,Cat,"(8.8, 11.0]",Monday,domestic shorthair,False,True,tabby,cream ,white,cream ,Return to Owner-- 
2 months,0,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
6 years,1,Neutered Male,Male,Yes,6,365,Cat,"(4.4, 6.6]",Friday,domestic shorthair,False,True,tabby,brown ,white,brown ,Return to Owner-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
6 months,1,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic longhair,False,True,missing,blue,white,blue,Adoption-- 
1 week,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,gray ,white,gray ,Transfer-- Partner
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
2 years,1,Intact Male,Male,No,2,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- Foster
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
1 month,0,Spayed Female,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Friday,american shorthair,True,False,calico,Breed Specific,white,calico,Adoption-- 
4 months,1,Intact Female,Female,No,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
12 years,0,Unknown,Female,Yes,12,365,Cat,"(11.0, 13.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- Foster
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Thursday,domestic shorthair,False,True,calico,Breed Specific,white,calico,Adoption-- 
3 months,0,Unknown,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,buff,none,buff,Transfer-- Snr
2 years,0,Unknown,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- Foster
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,silver ,white,silver ,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic mediumhair,False,True,missing,black,white,black,Adoption-- Foster
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
3 months,0,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,blue,white,blue,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tortie,Breed Specific,blue cream,tortie,Transfer-- Partner
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,tabby,blue ,white,blue ,Adoption-- Foster
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
2 years,0,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Snr
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
5 months,0,Intact Male,Male,No,5,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- SCRP
3 years,0,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Friday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Euthanasia-- Suffering
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Wednesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- SCRP
8 years,0,Intact Male,Male,No,8,365,Cat,"(6.6, 8.8]",Wednesday,domestic mediumhair,False,True,missing,buff,none,buff,Euthanasia-- Suffering
7 months,0,Spayed Female,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,torbie,Breed Specific,none,torbie,Transfer-- SCRP
2 years,0,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Friday,american shorthair,True,False,missing,black,white,black,Transfer-- SCRP
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
7 years,1,Spayed Female,Female,Yes,7,365,Cat,"(6.6, 8.8]",Thursday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 years,0,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Thursday,siamese,True,False,point,lynx,none,lynx,Transfer-- SCRP
3 months,0,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Adoption-- Foster
8 months,0,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
5 years,0,Neutered Male,Male,Yes,5,365,Cat,"(4.4, 6.6]",Monday,domestic shorthair,False,True,missing,white,black,white,Transfer-- Partner
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 years,0,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 month,1,Spayed Female,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
4 years,1,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Snr
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- SCRP
6 years,1,Neutered Male,Male,Yes,6,365,Cat,"(4.4, 6.6]",Wednesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
12 years,0,Intact Female,Female,No,12,365,Cat,"(11.0, 13.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 week,0,Intact Female,Female,No,1,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 month,1,Neutered Male,Male,Yes,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Euthanasia-- Suffering
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Saturday,domestic shorthair,False,True,missing,black,none,black,Return to Owner-- 
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
2 months,0,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Snr
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Sunday,siamese,True,False,point,seal,none,seal,Adoption-- 
8 months,1,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Foster
4 months,0,Unknown,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
4 years,1,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Thursday,domestic shorthair,False,True,tabby,blue ,white,blue ,Return to Owner-- 
4 years,1,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
14 years,1,Spayed Female,Female,Yes,14,365,Cat,"(13.2, 15.4]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
6 months,0,Intact Male,Male,No,6,30,Cat,"(-0.022, 2.2]",Sunday,siamese,True,False,point,seal,none,seal,Transfer-- Partner
8 months,1,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
7 years,1,Neutered Male,Male,Yes,7,365,Cat,"(6.6, 8.8]",Monday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
5 months,0,Intact Male,Male,No,5,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
3 months,1,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,gray,white,gray,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
7 months,0,Unknown,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
6 years,1,Neutered Male,Male,Yes,6,365,Cat,"(4.4, 6.6]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
9 months,1,Spayed Female,Female,Yes,9,30,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- Partner
4 years,0,Neutered Male,Male,Yes,4,365,Cat,"(2.2, 4.4]",Monday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- Barn
7 months,0,Unknown,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,white,brown,white,Transfer-- SCRP
4 months,1,Intact Female,Female,No,4,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
3 years,0,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Sunday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
2 months,0,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- Foster
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown ,brown,brown ,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
5 months,1,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,white,black,Return to Owner-- 
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
4 years,0,Neutered Male,Male,Yes,4,365,Cat,"(2.2, 4.4]",Friday,domestic mediumhair,False,True,tabby,brown,none,brown,Transfer-- SCRP
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
2 years,0,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
6 months,1,Neutered Male,Male,Yes,6,30,Cat,"(-0.022, 2.2]",Wednesday,domestic longhair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
15 years,1,Neutered Male,Male,Yes,15,365,Cat,"(13.2, 15.4]",Monday,manx,True,False,missing,black,none,black,Transfer-- Partner
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic mediumhair,False,True,tabby,orange,none,orange,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,smoke,white,black,white,Adoption-- 
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
6 years,1,Spayed Female,Female,Yes,6,365,Cat,"(4.4, 6.6]",Sunday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
1 month,0,Unknown,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Euthanasia-- Suffering
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
4 years,0,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Monday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- SCRP
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,0,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
1 week,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,orange,white,orange,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- 
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- Foster
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Adoption-- 
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Died-- In Kennel
6 days,0,Unknown,Female,Yes,6,1,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,orange,none,orange,Adoption-- Foster
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,white,black,Transfer-- SCRP
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
1 month,1,Spayed Female,Female,Yes,1,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,calico,Breed Specific,none,calico,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
1 week,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Died-- 
2 years,0,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown ,white,brown ,Return to Owner-- 
4 years,1,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
